application_id,start_date,completion_date,city
10001276,2016-12-26T05:04:33.442Z,2018-09-18T04:57:53.333Z,Chicago
10004458,2017-11-22T16:32:59.449Z,,Chicago
10024489,2018-01-27T01:51:00.795Z,2019-08-14T19:00:35.292Z,Los Angeles
10025997,2018-01-28T21:21:02.745Z,2019-03-12T12:10:28.517Z,Los Angeles
10026009,2018-01-28T23:28:50.810Z,2018-12-29T16:23:40.967Z,Los Angeles
10026242,2018-01-29T19:38:59.344Z,2019-04-22T00:50:08.489Z,Los Angeles
10026424,2018-01-30T06:48:38.520Z,2018-10-01T08:14:09.378Z,Los Angeles
10026455,2018-01-30T20:15:20.138Z,2019-06-26T02:01:45.357Z,Los Angeles
10026462,2018-01-30T20:32:48.149Z,2018-09-12T03:11:33.935Z,Los Angeles
10026707,2018-01-31T22:15:46.411Z,2019-02-07T07:49:07.232Z,Los Angeles
10026903,2018-02-02T19:00:46.165Z,2019-08-30T22:52:46.310Z,Los Angeles
10026932,2018-02-02T23:45:44.989Z,,Los Angeles
10026993,2018-02-04T18:05:31.282Z,,Los Angeles
10027015,2018-02-05T17:20:31.648Z,2018-12-06T05:51:45.544Z,Los Angeles
10027486,2018-02-08T21:43:01.233Z,2019-01-16T22:06:03.342Z,Los Angeles
10027667,2018-02-12T23:24:03.601Z,2019-07-18T18:42:59.725Z,Los Angeles
10027873,2018-02-14T03:30:37.344Z,2019-10-25T02:49:38.149Z,Los Angeles
10027917,2018-02-15T23:31:41.716Z,2018-10-08T19:03:01.769Z,Los Angeles
10028243,2018-02-27T19:23:16.534Z,2018-02-27T20:17:34.576Z,Chicago
10028318,2018-03-02T08:55:36.922Z,2018-11-19T03:04:45.500Z,Los Angeles
10028434,2018-03-08T17:53:15.872Z,2018-09-20T05:03:56.478Z,Los Angeles
10028446,2018-03-08T21:29:09.602Z,2018-03-08T22:09:12.674Z,Los Angeles
10028697,2018-03-20T15:32:39.892Z,2019-01-28T13:10:21.780Z,Los Angeles
10028968,2018-03-21T21:08:02.063Z,2018-03-21T21:18:30.568Z,Los Angeles
10029025,2018-03-22T04:32:15.572Z,2019-09-18T18:17:00.658Z,Los Angeles
10029234,2018-03-23T15:04:50.900Z,2018-11-28T21:56:37.570Z,Los Angeles
10029358,2018-03-25T23:54:42.704Z,2018-10-29T02:59:44.732Z,Los Angeles
10029473,2018-03-27T23:52:44.078Z,,Los Angeles
10029490,2018-03-28T05:48:50.298Z,2018-03-28T06:09:10.635Z,Los Angeles
10029594,2018-03-30T16:44:20.775Z,2019-01-26T23:38:07.836Z,Los Angeles
10029652,2018-04-01T09:18:33.650Z,2019-06-13T19:51:27.038Z,Los Angeles
10029697,2018-04-04T13:02:30.021Z,2019-11-04T14:40:36.948Z,Los Angeles
10029838,2018-04-17T22:52:15.963Z,2020-01-02T18:25:11.849Z,Los Angeles
10029883,2018-04-19T20:42:52.886Z,2018-12-27T23:38:53.237Z,Los Angeles
10029908,2018-04-21T05:58:35.736Z,2018-04-21T06:15:19.034Z,Los Angeles
10029914,2018-04-22T07:40:14.716Z,2019-12-23T06:48:57.154Z,Los Angeles
10029934,2018-04-24T06:03:07.034Z,2018-04-24T06:16:59.005Z,Los Angeles
10029944,2018-04-24T21:18:06.621Z,2018-04-24T21:55:43.846Z,Los Angeles
10029963,2018-04-26T12:44:09.358Z,2018-04-26T15:24:00.434Z,Los Angeles
10029965,2018-04-26T15:52:47.691Z,2019-10-19T20:46:03.543Z,Los Angeles
10029991,2018-04-28T19:07:54.132Z,2018-11-19T02:57:13.780Z,Los Angeles
10030028,2018-05-02T23:01:25.428Z,2018-05-02T23:29:15.642Z,Los Angeles
10030040,2018-05-03T19:36:21.574Z,,Los Angeles
10030058,2018-05-04T16:34:46.511Z,,Los Angeles
10030070,2018-05-05T00:21:32.875Z,2019-01-11T16:53:59.628Z,Los Angeles
10030073,2018-05-05T00:47:41.969Z,2019-09-13T15:56:46.615Z,Los Angeles
